人口総数,"15歳未満人口","15〜64歳人口","65歳以上人口",出生数,死亡数,転入者数,転出者数,昼間人口,"高齢単身世帯数",婚姻件数,離婚件数,政府統計の総合窓口より2012年の人口状況
5080,609,2836,1633,43,63,211,234,5197,296,30,4,上士幌町　　　
5702,809,3415,1478,49,55,281,323,5971,215,34,15,鹿追町　　　　
6653,693,3849,2111,45,88,310,364,7369,396,17,12,新得町　　　　
9961,1160,5722,3077,63,122,355,406,10673,503,50,13,清水町　　　　
18905,3080,11458,4361,163,169,757,752,19032,664,66,29,芽室町　　　　
4006,526,2482,998,27,46,251,240,4253,152,19,5,中札内村　　　
3391,484,1999,908,31,29,131,152,3531,114,21,2,更別村　　　　
5977,724,3435,1818,51,56,262,311,6638,272,27,9,大樹町　　　　
7881,1011,4593,2277,48,83,296,298,8231,359,25,15,広尾町　　　　
26547,3731,15945,6867,174,263,1104,1009,23340,899,102,61,幕別町　　　　
7527,827,4104,2596,37,117,217,328,8154,447,25,8,池田町　　　　
3394,374,1862,1158,17,52,117,156,3801,170,8,7,豊頃町　　　　
8275,898,4634,2743,48,93,315,426,9214,474,33,14,本別町　　　　
7630,870,4171,2589,61,88,306,355,8390,424,25,15,足寄町　　　　
2650,260,1430,960,12,38,96,113,2933,152,5,2,陸別町　　　　
5460,591,3041,1827,30,80,150,194,6010,260,35,4,浦幌町　　　　
20526,2802,13711,4001,164,163,1150,1330,20530,623,105,69,釧路町　　　　
10630,1274,6315,3041,68,116,316,434,11444,523,40,20,厚岸町　　　　
6511,855,3970,1686,37,73,214,216,6995,204,23,10,浜中町　　　　
8285,1055,4884,2346,67,104,301,348,9078,407,45,9,標茶町　　　　
8278,950,4731,2594,45,103,326,355,9118,490,30,19,弟子屈町　　　
2627,364,1499,764,18,21,95,114,2830,84,6,5,鶴居村　　　　
9294,1034,5399,2861,54,121,266,369,10654,569,38,23,白糠町　　　　
15855,2511,9985,3359,188,171,625,742,16834,417,88,24,別海町　　　　
23982,3779,15558,4629,237,198,1147,1114,23544,697,137,75,中標津町　　　
5646,815,3447,1384,45,62,247,271,6242,193,34,13,標津町　　　　
5885,786,3745,1354,42,60,149,256,6620,181,37,13,羅臼町　　　　
299520,37622,189931,70690,2198,3062,8506,9368,317006,11860,1355,634,青森市　　　　
183473,21829,113183,46401,1260,2049,5224,5304,200565,7009,738,369,弘前市　　　　
237615,31926,149842,55030,1822,2323,6769,7878,257584,8035,1233,502,八戸市　　　　
36132,4635,22267,9150,231,467,785,986,36534,1151,145,71,黒石市　　　　
58421,7334,34861,16226,367,711,1490,1748,63503,2456,236,106,五所川原市　　
